recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.923077,0.9950734,0.06904762,0.037172493,830,97,420,9400
0.18965517,0.986575,0.019417476,0.010852343,106,57,309,810
0.9714286,0.99976367,0.06501548,0.06785774,206,72,323,1814
0.8767123,0.9949823,0.10404624,0.07227729,209,70,346,1938
0.92424244,0.99124026,0.11023622,0.14869027,446,147,635,4294
0.78625953,0.9778083,0.1027523,0.07744797,690,107,545,6598
0.66820276,0.9530914,0.0862069,0.05162356,1377,250,870,13778
0.31764707,0.9709628,0.031746034,0.045110226,236,68,315,2154
0.9347826,0.984184,0.077586204,0.1115261,207,60,232,1704
0.9398497,0.9970989,0.120567374,0.14852044,398,121,564,3646
0.9347826,0.9990765,0.097297296,0.13741182,119,37,185,960
0.7741935,0.9947463,0.1779661,0.17848219,82,25,118,600
0.7,0.9745127,0.017283952,0.0048431223,261,96,405,2694
0.93421054,0.9957818,0.09192826,0.08927362,352,131,446,3108
0.9885057,0.9996511,0.12078652,0.12023942,610,207,712,5660
0.70149255,0.9548358,0.057831325,0.058173545,330,87,415,3040
0.8705036,0.9873049,0.1225383,0.1054519,373,128,457,3738
0.90909094,0.9975705,0.019313306,0.009208454,307,122,466,2848
0.92857146,0.9907323,0.054545455,0.061978683,233,87,385,2228
0.3703704,0.8973241,0.043478258,0.029510051,64,23,115,360
1.0,1.0,0.025139663,0.006524088,233,84,358,2228
0.9302325,0.9971348,0.07364341,0.14002064,424,86,258,3736
0.5555556,0.9535432,0.03883495,0.017726468,44,21,103,212
0.85999995,0.9810648,0.051334705,0.057951175,369,102,487,3634
0.9545455,0.9981079,0.021611003,0.007975178,389,152,509,3700
0.90625,0.9964086,0.034050178,0.03547465,409,118,558,4288
0.8301887,0.95851403,0.048582997,0.063160434,541,144,494,5356
0.5263158,0.9659907,0.03726708,0.033655792,126,55,161,1220
0.77492875,0.95327747,0.058450386,0.07454873,1906,1327,2207,17076
0.63414633,0.93510383,0.055288464,0.039534368,333,179,416,2982
0.43913043,0.9494866,0.049142856,0.04019693,828,477,875,7122
0.5114943,0.97376966,0.102380954,0.15519068,272,177,420,2372
0.32475883,0.62245005,0.065989845,0.092633344,21410,420,591,189840
0.32432434,0.94290465,0.06918239,0.07801416,305,130,477,2516
0.7171315,0.8936285,0.022314051,0.011994997,11398,5595,3630,128338
0.12133891,0.90310466,0.034055725,0.03707981,375,144,646,3180
0.45000002,0.95585907,0.06870229,0.06443521,101,35,131,744
0.631579,0.9125667,0.025258323,0.01168392,4670,3009,1742,53160
0.74285716,0.9204694,0.022246536,0.0139235705,4670,3072,2742,53160
0.8705036,0.9951379,0.016293505,0.010630803,17073,10933,9022,154652
0.72083336,0.96195674,0.107999995,0.11548428,1585,198,750,24778
0.8277027,0.9678483,0.056779247,0.021449048,1543,824,2043,13780
0.6363636,0.97396106,0.1532567,0.16564415,101,58,261,858
0.66117215,0.8096751,0.27104378,0.32356033,1171,784,594,7210
0.80745345,0.96126467,0.06723429,0.057608534,3757,2261,3406,32362
0.5453342,0.644972,0.10380803,0.07602376,1455,592,1917,11800
0.42372882,0.7556124,0.026620371,0.018792694,665,313,864,5156
0.6894737,0.85465235,0.045189507,0.031236762,1567,1119,1372,10398
0.5714286,0.85111207,0.024915062,0.028732494,919,432,883,9208
0.70446736,0.8965201,0.19459054,0.15945989,914,623,1331,5738
0.79710144,0.76261306,0.09227872,0.0647312,1865,1259,1593,21132
0.67137474,0.9211737,0.06363636,0.043896217,3167,2774,2970,40654
0.6009501,0.85016274,0.041061398,0.021120017,11931,11148,5163,134670
0.3904762,0.6415106,0.04704753,0.017186848,2120,1944,2083,9734
0.61871344,0.88136554,0.15711646,0.17917219,3725,1655,1082,25702
0.69821674,0.8628073,0.12597115,0.11032367,2153,1405,1802,13010
0.56669915,0.8015809,0.043463144,0.057623222,3039,2560,5752,55096
0.42618385,0.66336024,0.04858934,0.03154236,3400,464,638,29190
0.31506848,0.8078854,0.057142857,0.038272254,745,184,315,5910
0.34134617,0.66622466,0.049079753,0.03129319,1660,293,489,13712
0.37100214,0.61644584,0.058394156,0.07162025,12203,809,685,108262
0.3654321,0.9291373,0.04345273,0.025988538,987,853,1703,6112
0.72932917,0.8938412,0.047612008,0.061972663,5865,5152,6763,82536
0.71505374,0.8235737,0.034489185,0.019994378,8535,7263,5364,61438
0.66585165,0.83847284,0.06213346,0.09486073,5044,4314,6309,70842
0.673913,0.83739144,0.12671594,0.16650406,1462,997,947,16072
0.6702509,0.82754195,0.16399083,0.23374587,1278,851,872,13720
0.6329588,0.8950081,0.060606062,0.05694326,3280,2254,2277,29736
0.6872536,0.91787165,0.24101198,0.27626282,544,194,751,9856
0.7145594,0.7099484,0.04486968,0.04467023,3403,3164,3031,19604
0.5717853,0.9104605,0.2775974,0.32699007,393,144,616,5242
0.56655663,0.87803227,0.29368576,0.3546125,456,162,681,6610
0.57535756,0.8681344,0.29493088,0.3455713,411,129,651,6430
